"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0220202708655673,1,8,953.375,"GO:0042382 paraspeckles "," http://amigo.geneontology.org/amigo/term/GO:0042382"," SFPQ"
0.0264835005702193,1,27,282.481481481481,"GO:0019774 proteasome core complex beta-subunit complex "," http://amigo.geneontology.org/amigo/term/GO:0019774"," PSMB7"
0.0264835005702193,1,28,272.392857142857,"GO:0070847 core mediator complex "," http://amigo.geneontology.org/amigo/term/GO:0070847"," MED16"
0.0264835005702193,1,29,263,"GO:0032839 dendrite cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0032839"," SFPQ"
0.0264835005702193,1,38,200.710526315789,"GO:0005839 proteasome core complex "," http://amigo.geneontology.org/amigo/term/GO:0005839"," PSMB7"
0.0280903021534182,1,46,165.804347826087,"GO:0016592 mediator complex "," http://amigo.geneontology.org/amigo/term/GO:0016592"," MED16"
0.0364394274845128,1,84,90.7976190476191,"GO:0000502 proteasome complex "," http://amigo.geneontology.org/amigo/term/GO:0000502"," PSMB7"
0.0364394274845128,1,90,84.7444444444445,"GO:0120111 neuron projection cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0120111"," SFPQ"
0.0387360693437608,1,106,71.9528301886792,"GO:1905369 endopeptidase complex "," http://amigo.geneontology.org/amigo/term/GO:1905369"," PSMB7"
0.0431749872217833,1,130,58.6692307692308,"GO:0016363 nuclear matrix "," http://amigo.geneontology.org/amigo/term/GO:0016363"," SFPQ"
0.018649594429133,2,280,54.4785714285714,"GO:0090575 RNA polymerase II transcription regulator complex "," http://amigo.geneontology.org/amigo/term/GO:0090575"," SFPQ  MED16"
0.0431749872217833,1,142,53.7112676056338,"GO:1904813 ficolin-1-rich granule lumen "," http://amigo.geneontology.org/amigo/term/GO:1904813"," PSMB7"
0.0431749872217833,1,142,53.7112676056338,"GO:1905368 peptidase complex "," http://amigo.geneontology.org/amigo/term/GO:1905368"," PSMB7"
0.0446218100948479,1,155,49.2064516129032,"GO:0034399 nuclear periphery "," http://amigo.geneontology.org/amigo/term/GO:0034399"," SFPQ"
0.0240964513513005,2,553,27.5840867992767,"GO:0005667 transcription regulator complex "," http://amigo.geneontology.org/amigo/term/GO:0005667"," SFPQ  MED16"
0.0264835005702193,2,952,16.0231092436975,"GO:0016604 nuclear body "," http://amigo.geneontology.org/amigo/term/GO:0016604"," SFPQ  PSMB7"
0.0364394274845128,2,1489,10.2444593687038,"GO:0140513 nuclear protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140513"," MED16  SFPQ"
0.0336881873897833,3,4581,4.99476096922069,"GO:0005654 nucleoplasm "," http://amigo.geneontology.org/amigo/term/GO:0005654"," SFPQ  PSMB7  MED16"
0.0364394274845128,3,4973,4.60104564649105,"GO:0031981 nuclear lumen "," http://amigo.geneontology.org/amigo/term/GO:0031981"," SFPQ  PSMB7  MED16"
