"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.018649594429133,2,280,54.4785714285714,"GO:0090575 RNA polymerase II transcription regulator complex "," http://amigo.geneontology.org/amigo/term/GO:0090575"," SFPQ  MED16"
0.0220202708655673,1,8,953.375,"GO:0042382 paraspeckles "," http://amigo.geneontology.org/amigo/term/GO:0042382"," SFPQ"
0.0240964513513005,2,553,27.5840867992767,"GO:0005667 transcription regulator complex "," http://amigo.geneontology.org/amigo/term/GO:0005667"," SFPQ  MED16"
0.0264835005702193,1,38,200.710526315789,"GO:0005839 proteasome core complex "," http://amigo.geneontology.org/amigo/term/GO:0005839"," PSMB7"
0.0264835005702193,2,952,16.0231092436975,"GO:0016604 nuclear body "," http://amigo.geneontology.org/amigo/term/GO:0016604"," SFPQ  PSMB7"
0.0264835005702193,1,27,282.481481481481,"GO:0019774 proteasome core complex beta-subunit complex "," http://amigo.geneontology.org/amigo/term/GO:0019774"," PSMB7"
0.0264835005702193,1,29,263,"GO:0032839 dendrite cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0032839"," SFPQ"
0.0264835005702193,1,28,272.392857142857,"GO:0070847 core mediator complex "," http://amigo.geneontology.org/amigo/term/GO:0070847"," MED16"
0.0280903021534182,1,46,165.804347826087,"GO:0016592 mediator complex "," http://amigo.geneontology.org/amigo/term/GO:0016592"," MED16"
0.0336881873897833,3,4581,4.99476096922069,"GO:0005654 nucleoplasm "," http://amigo.geneontology.org/amigo/term/GO:0005654"," SFPQ  PSMB7  MED16"
0.0364394274845128,1,84,90.7976190476191,"GO:0000502 proteasome complex "," http://amigo.geneontology.org/amigo/term/GO:0000502"," PSMB7"
0.0364394274845128,3,4973,4.60104564649105,"GO:0031981 nuclear lumen "," http://amigo.geneontology.org/amigo/term/GO:0031981"," SFPQ  PSMB7  MED16"
0.0364394274845128,1,90,84.7444444444445,"GO:0120111 neuron projection cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0120111"," SFPQ"
0.0364394274845128,2,1489,10.2444593687038,"GO:0140513 nuclear protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140513"," MED16  SFPQ"
0.0387360693437608,1,106,71.9528301886792,"GO:1905369 endopeptidase complex "," http://amigo.geneontology.org/amigo/term/GO:1905369"," PSMB7"
0.0431749872217833,1,130,58.6692307692308,"GO:0016363 nuclear matrix "," http://amigo.geneontology.org/amigo/term/GO:0016363"," SFPQ"
0.0431749872217833,1,142,53.7112676056338,"GO:1904813 ficolin-1-rich granule lumen "," http://amigo.geneontology.org/amigo/term/GO:1904813"," PSMB7"
0.0431749872217833,1,142,53.7112676056338,"GO:1905368 peptidase complex "," http://amigo.geneontology.org/amigo/term/GO:1905368"," PSMB7"
0.0446218100948479,1,155,49.2064516129032,"GO:0034399 nuclear periphery "," http://amigo.geneontology.org/amigo/term/GO:0034399"," SFPQ"
0.059967387466813,1,231,33.017316017316,"GO:0032838 plasma membrane bounded cell projection cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0032838"," SFPQ"
0.059967387466813,1,223,34.2017937219731,"GO:0101002 ficolin-1-rich granule "," http://amigo.geneontology.org/amigo/term/GO:0101002"," PSMB7"
0.0667914006299778,1,270,28.2481481481481,"GO:0099568 cytoplasmic region "," http://amigo.geneontology.org/amigo/term/GO:0099568"," SFPQ"
0.0808321349264916,1,373,20.4477211796247,"GO:0031983 vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0031983"," PSMB7"
0.0808321349264916,1,368,20.7255434782609,"GO:0034774 secretory granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0034774"," PSMB7"
0.0808321349264916,1,371,20.5579514824798,"GO:0060205 cytoplasmic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0060205"," PSMB7"
0.101375981237381,1,489,15.5971370143149,"GO:0016607 nuclear speck "," http://amigo.geneontology.org/amigo/term/GO:0016607"," SFPQ"
0.125171559678129,1,653,11.6799387442573,"GO:0030425 dendrite "," http://amigo.geneontology.org/amigo/term/GO:0030425"," SFPQ"
0.125171559678129,1,655,11.6442748091603,"GO:0097447 dendritic tree "," http://amigo.geneontology.org/amigo/term/GO:0097447"," SFPQ"
0.156762344285869,1,888,8.58896396396396,"GO:0036477 somatodendritic compartment "," http://amigo.geneontology.org/amigo/term/GO:0036477"," SFPQ"
0.156762344285869,1,884,8.62782805429864,"GO:0140535 intracellular protein-containing complex "," http://amigo.geneontology.org/amigo/term/GO:0140535"," PSMB7"
0.167880667563351,1,987,7.7274569402229,"GO:0030141 secretory granule "," http://amigo.geneontology.org/amigo/term/GO:0030141"," PSMB7"
0.190453765244197,1,1165,6.54678111587983,"GO:0099503 secretory vesicle "," http://amigo.geneontology.org/amigo/term/GO:0099503"," PSMB7"
