"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0313249686305106,1,24,317.791666666667,"GO:0004298 threonine-type endopeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0004298"," PSMB7"
0.0313249686305106,1,15,508.466666666667,"GO:0042809 nuclear vitamin D receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0042809"," MED16"
0.0313249686305106,1,31,246.032258064516,"GO:0046966 nuclear thyroid hormone receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0046966"," MED16"
0.0313249686305106,1,33,231.121212121212,"GO:0070003 threonine-type peptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0070003"," PSMB7"
0.0944393350180398,1,150,50.8466666666667,"GO:0016922 nuclear receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0016922"," MED16"
0.0944393350180398,1,135,56.4962962962963,"GO:0042826 histone deacetylase binding "," http://amigo.geneontology.org/amigo/term/GO:0042826"," SFPQ"
0.170878230844722,1,319,23.9090909090909,"GO:0003713 transcription coactivator activity "," http://amigo.geneontology.org/amigo/term/GO:0003713"," MED16"
0.178092748881879,1,381,20.0183727034121,"GO:0061629 RNA polymerase II-specific DNA-binding transcription factor binding "," http://amigo.geneontology.org/amigo/term/GO:0061629"," MED16"
0.181733576172771,1,636,11.9921383647799,"GO:0003682 chromatin binding "," http://amigo.geneontology.org/amigo/term/GO:0003682"," SFPQ"
0.181733576172771,1,561,13.5953654188948,"GO:0003712 transcription coregulator activity "," http://amigo.geneontology.org/amigo/term/GO:0003712"," MED16"
0.181733576172771,1,497,15.3460764587525,"GO:0004175 endopeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0004175"," PSMB7"
0.181733576172771,1,639,11.9358372456964,"GO:0008134 transcription factor binding "," http://amigo.geneontology.org/amigo/term/GO:0008134"," MED16"
0.181733576172771,1,518,14.7239382239382,"GO:0140297 DNA-binding transcription factor binding "," http://amigo.geneontology.org/amigo/term/GO:0140297"," MED16"
0.182833170508417,1,694,10.9899135446686,"GO:0008233 peptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0008233"," PSMB7"
0.185143796742983,1,755,10.1019867549669,"GO:0042803 protein homodimerization activity "," http://amigo.geneontology.org/amigo/term/GO:0042803"," SFPQ"
