"N","High level GO category","Genes"
3,"GO:0040011 locomotion "," NOTCH3  SCRIB  PTPRF"
3,"GO:0009605 response to external stimulus "," NOTCH3  PTPRF  SCRIB"
3,"GO:0009893 positive regulation of metabolic process "," GATAD2B  NOTCH3  SCRIB"
3,"GO:0050793 regulation of developmental process "," GATAD2B  NOTCH3  PTPRF"
3,"GO:0065009 regulation of molecular function "," TBC1D17  PTPRF  SCRIB"
2,"GO:0006950 response to stress "," PTPRF  SCRIB"
2,"GO:0007155 cell adhesion "," PTPRF  SCRIB"
2,"GO:0008283 cell population proliferation "," SCRIB  NOTCH3"
2,"GO:0009653 anatomical structure morphogenesis "," NOTCH3  SCRIB"
2,"GO:0033036 macromolecule localization "," SCRIB  TBC1D17"
2,"GO:0042221 response to chemical "," NOTCH3  SCRIB"
2,"GO:0042330 taxis "," NOTCH3  SCRIB"
2,"GO:0048646 anatomical structure formation involved in morphogenesis "," NOTCH3  SCRIB"
2,"GO:0048870 cell motility "," SCRIB  PTPRF"
2,"GO:0051234 establishment of localization "," SCRIB  TBC1D17"
2,"GO:0051641 cellular localization "," SCRIB  TBC1D17"
2,"GO:0051674 localization of cell "," SCRIB  PTPRF"
1,"GO:0002376 immune system process "," SCRIB"
1,"GO:0002682 regulation of immune system process "," SCRIB"
1,"GO:0002683 negative regulation of immune system process "," SCRIB"
1,"GO:0006914 autophagy "," TBC1D17"
1,"GO:0009056 catabolic process "," TBC1D17"
1,"GO:0016080 synaptic vesicle targeting "," SCRIB"
1,"GO:0023051 regulation of signaling "," SCRIB"
1,"GO:0030155 regulation of cell adhesion "," SCRIB"
1,"GO:0032879 regulation of localization "," SCRIB"
1,"GO:0045321 leukocyte activation "," SCRIB"
1,"GO:0048583 regulation of response to stimulus "," PTPRF"
1,"GO:0051093 negative regulation of developmental process "," NOTCH3"
1,"GO:0051239 regulation of multicellular organismal process "," SCRIB"
1,"GO:0051240 positive regulation of multicellular organismal process "," SCRIB"
1,"GO:0065008 regulation of biological quality "," SCRIB"
