"N","High level GO category","Genes"
4,"GO:0005576 extracellular region "," PTPRF  SCRIB  BGN  NOTCH3"
3,"GO:0005615 extracellular space "," PTPRF  SCRIB  BGN"
3,"GO:0043230 extracellular organelle "," PTPRF  SCRIB  BGN"
3,"GO:1903561 extracellular vesicle "," PTPRF  SCRIB  BGN"
2,"GO:0042995 cell projection "," PTPRF  SCRIB"
1,"GO:0030054 cell junction "," SCRIB"
1,"GO:0045202 synapse "," SCRIB"
1,"GO:0005789 endoplasmic reticulum membrane "," NOTCH3"
1,"GO:0005911 cell-cell junction "," SCRIB"
1,"GO:0019898 extrinsic component of membrane "," SCRIB"
1,"GO:0031012 extracellular matrix "," BGN"
1,"GO:0031090 organelle membrane "," NOTCH3"
1,"GO:0031252 cell leading edge "," SCRIB"
1,"GO:0035748 myelin sheath abaxonal region "," SCRIB"
1,"GO:0042175 nuclear outer membrane-endoplasmic reticulum membrane network "," NOTCH3"
1,"GO:0045178 basal part of cell "," SCRIB"
1,"GO:0070161 anchoring junction "," SCRIB"
1,"GO:0097060 synaptic membrane "," SCRIB"
1,"GO:0098590 plasma membrane region "," SCRIB"
1,"GO:0098793 presynapse "," SCRIB"
1,"GO:0098794 postsynapse "," SCRIB"
1,"GO:0098978 glutamatergic synapse "," SCRIB"
1,"GO:0098984 neuron to neuron synapse "," SCRIB"
1,"GO:0099572 postsynaptic specialization "," SCRIB"
