"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0144484099424882,3,594,19.260101010101,"GO:0050839 cell adhesion molecule binding "," http://amigo.geneontology.org/amigo/term/GO:0050839"," NOTCH3  SCRIB  PTPRF"
0.040875417220537,2,259,29.4478764478764,"GO:0005539 glycosaminoglycan binding "," http://amigo.geneontology.org/amigo/term/GO:0005539"," PTPRF  BGN"
0.0441226468660496,1,20,190.675,"GO:0005001 transmembrane receptor protein tyrosine phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0005001"," PTPRF"
0.0441226468660496,1,20,190.675,"GO:0019198 transmembrane receptor protein phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0019198"," PTPRF"
0.0441226468660496,1,23,165.804347826087,"GO:0030021 extracellular matrix structural constituent conferring compression resistance "," http://amigo.geneontology.org/amigo/term/GO:0030021"," BGN"
0.0441226468660496,2,355,21.4845070422535,"GO:0045296 cadherin binding "," http://amigo.geneontology.org/amigo/term/GO:0045296"," NOTCH3  SCRIB"
0.0588741734190859,1,41,93.0121951219512,"GO:0031492 nucleosomal DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0031492"," GATAD2B"
0.0588741734190859,1,37,103.067567567568,"GO:0043394 proteoglycan binding "," http://amigo.geneontology.org/amigo/term/GO:0043394"," PTPRF"
0.071361648717856,1,56,68.0982142857143,"GO:0050840 extracellular matrix binding "," http://amigo.geneontology.org/amigo/term/GO:0050840"," BGN"
0.0812954408730356,1,71,53.7112676056338,"GO:0031491 nucleosome binding "," http://amigo.geneontology.org/amigo/term/GO:0031491"," GATAD2B"
0.115037954849063,1,111,34.3558558558559,"GO:0004725 protein tyrosine phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0004725"," PTPRF"
0.115762493715126,1,122,31.2581967213115,"GO:0031490 chromatin DNA binding "," http://amigo.geneontology.org/amigo/term/GO:0031490"," GATAD2B"
0.144311549497482,1,202,18.8787128712871,"GO:0004721 phosphoprotein phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0004721"," PTPRF"
0.144311549497482,1,187,20.3930481283422,"GO:0005201 extracellular matrix structural constituent "," http://amigo.geneontology.org/amigo/term/GO:0005201"," BGN"
0.144311549497482,1,189,20.1772486772487,"GO:0008201 heparin binding "," http://amigo.geneontology.org/amigo/term/GO:0008201"," PTPRF"
0.144311549497482,2,1477,5.16384563303995,"GO:0044877 protein-containing complex binding "," http://amigo.geneontology.org/amigo/term/GO:0044877"," GATAD2B  PTPRF"
0.174256400291482,1,298,12.7969798657718,"GO:0005096 GTPase activator activity "," http://amigo.geneontology.org/amigo/term/GO:0005096"," TBC1D17"
0.174256400291482,1,314,12.1449044585987,"GO:0016791 phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0016791"," PTPRF"
0.174256400291482,2,1908,3.99737945492662,"GO:0038023 signaling receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0038023"," NOTCH3  PTPRF"
0.174256400291482,2,1908,3.99737945492662,"GO:0060089 molecular transducer activity "," http://amigo.geneontology.org/amigo/term/GO:0060089"," NOTCH3  PTPRF"
0.174256400291482,1,285,13.380701754386,"GO:1901681 sulfur compound binding "," http://amigo.geneontology.org/amigo/term/GO:1901681"," PTPRF"
