"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0116909225995368,1,78,293.346153846154,"Path:hsa04612 Antigen processing and presentation","http://www.genome.jp/kegg-bin/show_pathway?hsa04612 ","ENSG00000080824"
0.0116909225995368,1,93,246.032258064516,"Path:hsa04657 IL-17 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04657 ","ENSG00000080824"
0.0116909225995368,1,97,235.886597938144,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 ","ENSG00000080824"
0.0116909225995368,1,102,224.323529411765,"Path:hsa04914 Progesterone-mediated oocyte maturation","http://www.genome.jp/kegg-bin/show_pathway?hsa04914 ","ENSG00000080824"
0.0116909225995368,1,108,211.861111111111,"Path:hsa04659 Th17 cell differentiation","http://www.genome.jp/kegg-bin/show_pathway?hsa04659 ","ENSG00000080824"
0.0116909225995368,1,138,165.804347826087,"Path:hsa04915 Estrogen signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04915 ","ENSG00000080824"
0.0116909225995368,1,138,165.804347826087,"Path:hsa05418 Fluid shear stress and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05418 ","ENSG00000080824"
0.0116909225995368,1,159,143.905660377358,"Path:hsa04217 Necroptosis","http://www.genome.jp/kegg-bin/show_pathway?hsa04217 ","ENSG00000080824"
0.0116909225995368,1,169,135.390532544379,"Path:hsa04141 Protein processing in endoplasmic reticulum","http://www.genome.jp/kegg-bin/show_pathway?hsa04141 ","ENSG00000080824"
0.0116909225995368,1,183,125.032786885246,"Path:hsa04621 NOD-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04621 ","ENSG00000080824"
0.0116909225995368,1,197,116.147208121827,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 ","ENSG00000080824"
0.0116909225995368,1,214,106.920560747664,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 ","ENSG00000080824"
0.012556605581386,1,249,91.8915662650602,"Path:hsa05132 Salmonella infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05132 ","ENSG00000080824"
0.0165764483320534,1,354,64.635593220339,"Path:hsa04151 PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 ","ENSG00000080824"
0.0231633232813241,1,530,43.1716981132075,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 ","ENSG00000080824"
