"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0215208843511519,1,78,293.346153846154,"GO:0002218 activation of innate immune response "," http://amigo.geneontology.org/amigo/term/GO:0002218","ENSG00000080824"
0.0215208843511519,1,36,635.583333333333,"GO:0002230 positive regulation of defense response to virus by host "," http://amigo.geneontology.org/amigo/term/GO:0002230","ENSG00000080824"
0.0215208843511519,1,46,497.413043478261,"GO:0003009 skeletal muscle contraction "," http://amigo.geneontology.org/amigo/term/GO:0003009","ENSG00000080824"
0.0215208843511519,1,74,309.202702702703,"GO:0006278 RNA-templated DNA biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0006278","ENSG00000080824"
0.0215208843511519,1,83,275.674698795181,"GO:0006809 nitric oxide biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0006809","ENSG00000080824"
0.0215208843511519,1,73,313.438356164384,"GO:0007004 telomere maintenance via telomerase "," http://amigo.geneontology.org/amigo/term/GO:0007004","ENSG00000080824"
0.0215208843511519,1,13,1760.07692307692,"GO:0007008 outer mitochondrial membrane organization "," http://amigo.geneontology.org/amigo/term/GO:0007008","ENSG00000080824"
0.0215208843511519,1,54,423.722222222222,"GO:0009409 response to cold "," http://amigo.geneontology.org/amigo/term/GO:0009409","ENSG00000080824"
0.0215208843511519,1,35,653.742857142857,"GO:0009651 response to salt stress "," http://amigo.geneontology.org/amigo/term/GO:0009651","ENSG00000080824"
0.0215208843511519,1,43,532.116279069767,"GO:0010591 regulation of lamellipodium assembly "," http://amigo.geneontology.org/amigo/term/GO:0010591","ENSG00000080824"
0.0215208843511519,1,31,738.096774193548,"GO:0010592 positive regulation of lamellipodium assembly "," http://amigo.geneontology.org/amigo/term/GO:0010592","ENSG00000080824"
0.0215208843511519,1,80,286.0125,"GO:0010657 muscle cell apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0010657","ENSG00000080824"
0.0215208843511519,1,50,457.62,"GO:0010658 striated muscle cell apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0010658","ENSG00000080824"
0.0215208843511519,1,47,486.829787234042,"GO:0010659 cardiac muscle cell apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0010659","ENSG00000080824"
0.0215208843511519,1,86,266.058139534884,"GO:0010833 telomere maintenance via telomere lengthening "," http://amigo.geneontology.org/amigo/term/GO:0010833","ENSG00000080824"
0.0215208843511519,1,85,269.188235294118,"GO:0021954 central nervous system neuron development "," http://amigo.geneontology.org/amigo/term/GO:0021954","ENSG00000080824"
0.0215208843511519,1,36,635.583333333333,"GO:0021955 central nervous system neuron axonogenesis "," http://amigo.geneontology.org/amigo/term/GO:0021955","ENSG00000080824"
0.0215208843511519,1,75,305.08,"GO:0030032 lamellipodium assembly "," http://amigo.geneontology.org/amigo/term/GO:0030032","ENSG00000080824"
0.0215208843511519,1,76,301.065789473684,"GO:0032481 positive regulation of type I interferon production "," http://amigo.geneontology.org/amigo/term/GO:0032481","ENSG00000080824"
0.0215208843511519,1,65,352.015384615385,"GO:0032608 interferon-beta production "," http://amigo.geneontology.org/amigo/term/GO:0032608","ENSG00000080824"
0.0215208843511519,1,65,352.015384615385,"GO:0032648 regulation of interferon-beta production "," http://amigo.geneontology.org/amigo/term/GO:0032648","ENSG00000080824"
0.0215208843511519,1,47,486.829787234042,"GO:0032728 positive regulation of interferon-beta production "," http://amigo.geneontology.org/amigo/term/GO:0032728","ENSG00000080824"
0.0215208843511519,1,81,282.481481481481,"GO:0034605 cellular response to heat "," http://amigo.geneontology.org/amigo/term/GO:0034605","ENSG00000080824"
