"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0118366038780374,1,5,4576.2,"GO:0097226 sperm mitochondrial sheath "," http://amigo.geneontology.org/amigo/term/GO:0097226","ENSG00000080824"
0.0118366038780374,1,9,2542.33333333333,"GO:0044294 dendritic growth cone "," http://amigo.geneontology.org/amigo/term/GO:0044294","ENSG00000080824"
0.0118366038780374,1,14,1634.35714285714,"GO:0044292 dendrite terminus "," http://amigo.geneontology.org/amigo/term/GO:0044292","ENSG00000080824"
0.0118366038780374,1,17,1345.94117647059,"GO:0097524 sperm plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0097524","ENSG00000080824"
0.0118366038780374,1,24,953.375,"GO:0071682 endocytic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0071682","ENSG00000080824"
0.0118366038780374,1,25,915.24,"GO:0044295 axonal growth cone "," http://amigo.geneontology.org/amigo/term/GO:0044295","ENSG00000080824"
0.0194796680964242,1,48,476.6875,"GO:0043209 myelin sheath "," http://amigo.geneontology.org/amigo/term/GO:0043209","ENSG00000080824"
0.0205956907477783,1,58,394.5,"GO:0031526 brush border membrane "," http://amigo.geneontology.org/amigo/term/GO:0031526","ENSG00000080824"
0.0282500279222451,1,113,202.486725663717,"GO:0005903 brush border "," http://amigo.geneontology.org/amigo/term/GO:0005903","ENSG00000080824"
0.0282500279222451,1,115,198.965217391304,"GO:0043202 lysosomal lumen "," http://amigo.geneontology.org/amigo/term/GO:0043202","ENSG00000080824"
0.0282500279222451,1,122,187.549180327869,"GO:0042470 melanosome "," http://amigo.geneontology.org/amigo/term/GO:0042470","ENSG00000080824"
0.0282500279222451,1,122,187.549180327869,"GO:0048770 pigment granule "," http://amigo.geneontology.org/amigo/term/GO:0048770","ENSG00000080824"
0.0282500279222451,1,142,161.133802816901,"GO:1904813 ficolin-1-rich granule lumen "," http://amigo.geneontology.org/amigo/term/GO:1904813","ENSG00000080824"
0.0282500279222451,1,157,145.738853503185,"GO:0036126 sperm flagellum "," http://amigo.geneontology.org/amigo/term/GO:0036126","ENSG00000080824"
0.0282500279222451,1,170,134.594117647059,"GO:0098862 cluster of actin-based cell projections "," http://amigo.geneontology.org/amigo/term/GO:0098862","ENSG00000080824"
0.0282500279222451,1,173,132.260115606936,"GO:0030426 growth cone "," http://amigo.geneontology.org/amigo/term/GO:0030426","ENSG00000080824"
0.0282500279222451,1,173,132.260115606936,"GO:0097729 9+2 motile cilium "," http://amigo.geneontology.org/amigo/term/GO:0097729","ENSG00000080824"
0.0282500279222451,1,179,127.826815642458,"GO:0030427 site of polarized growth "," http://amigo.geneontology.org/amigo/term/GO:0030427","ENSG00000080824"
0.0309496042453058,1,207,110.536231884058,"GO:0005775 vacuolar lumen "," http://amigo.geneontology.org/amigo/term/GO:0005775","ENSG00000080824"
0.0316747519776233,1,223,102.605381165919,"GO:0101002 ficolin-1-rich granule "," http://amigo.geneontology.org/amigo/term/GO:0101002","ENSG00000080824"
