"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0118366038780374,1,14,1634.35714285714,"GO:0044292 dendrite terminus "," http://amigo.geneontology.org/amigo/term/GO:0044292","ENSG00000080824"
0.0118366038780374,1,9,2542.33333333333,"GO:0044294 dendritic growth cone "," http://amigo.geneontology.org/amigo/term/GO:0044294","ENSG00000080824"
0.0118366038780374,1,25,915.24,"GO:0044295 axonal growth cone "," http://amigo.geneontology.org/amigo/term/GO:0044295","ENSG00000080824"
0.0118366038780374,1,24,953.375,"GO:0071682 endocytic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0071682","ENSG00000080824"
0.0118366038780374,1,5,4576.2,"GO:0097226 sperm mitochondrial sheath "," http://amigo.geneontology.org/amigo/term/GO:0097226","ENSG00000080824"
0.0118366038780374,1,17,1345.94117647059,"GO:0097524 sperm plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0097524","ENSG00000080824"
0.0194796680964242,1,48,476.6875,"GO:0043209 myelin sheath "," http://amigo.geneontology.org/amigo/term/GO:0043209","ENSG00000080824"
0.0205956907477783,1,58,394.5,"GO:0031526 brush border membrane "," http://amigo.geneontology.org/amigo/term/GO:0031526","ENSG00000080824"
0.0282500279222451,1,113,202.486725663717,"GO:0005903 brush border "," http://amigo.geneontology.org/amigo/term/GO:0005903","ENSG00000080824"
0.0282500279222451,1,173,132.260115606936,"GO:0030426 growth cone "," http://amigo.geneontology.org/amigo/term/GO:0030426","ENSG00000080824"
0.0282500279222451,1,179,127.826815642458,"GO:0030427 site of polarized growth "," http://amigo.geneontology.org/amigo/term/GO:0030427","ENSG00000080824"
0.0282500279222451,1,157,145.738853503185,"GO:0036126 sperm flagellum "," http://amigo.geneontology.org/amigo/term/GO:0036126","ENSG00000080824"
0.0282500279222451,1,122,187.549180327869,"GO:0042470 melanosome "," http://amigo.geneontology.org/amigo/term/GO:0042470","ENSG00000080824"
0.0282500279222451,1,115,198.965217391304,"GO:0043202 lysosomal lumen "," http://amigo.geneontology.org/amigo/term/GO:0043202","ENSG00000080824"
0.0282500279222451,1,122,187.549180327869,"GO:0048770 pigment granule "," http://amigo.geneontology.org/amigo/term/GO:0048770","ENSG00000080824"
0.0282500279222451,1,173,132.260115606936,"GO:0097729 9+2 motile cilium "," http://amigo.geneontology.org/amigo/term/GO:0097729","ENSG00000080824"
0.0282500279222451,1,170,134.594117647059,"GO:0098862 cluster of actin-based cell projections "," http://amigo.geneontology.org/amigo/term/GO:0098862","ENSG00000080824"
0.0282500279222451,1,142,161.133802816901,"GO:1904813 ficolin-1-rich granule lumen "," http://amigo.geneontology.org/amigo/term/GO:1904813","ENSG00000080824"
0.0309496042453058,1,207,110.536231884058,"GO:0005775 vacuolar lumen "," http://amigo.geneontology.org/amigo/term/GO:0005775","ENSG00000080824"
0.0316747519776233,1,223,102.605381165919,"GO:0101002 ficolin-1-rich granule "," http://amigo.geneontology.org/amigo/term/GO:0101002","ENSG00000080824"
0.0324985796075347,1,267,85.6966292134831,"GO:0009925 basal plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0009925","ENSG00000080824"
0.0324985796075347,1,242,94.5495867768595,"GO:0016323 basolateral plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0016323","ENSG00000080824"
0.0324985796075347,1,255,89.7294117647059,"GO:0031514 motile cilium "," http://amigo.geneontology.org/amigo/term/GO:0031514","ENSG00000080824"
0.0324985796075347,1,285,80.2842105263158,"GO:0045178 basal part of cell "," http://amigo.geneontology.org/amigo/term/GO:0045178","ENSG00000080824"
0.0324985796075347,1,286,80.0034965034965,"GO:0150034 distal axon "," http://amigo.geneontology.org/amigo/term/GO:0150034","ENSG00000080824"
0.0365383716952334,1,368,62.1766304347826,"GO:0031253 cell projection membrane "," http://amigo.geneontology.org/amigo/term/GO:0031253","ENSG00000080824"
0.0365383716952334,1,373,61.343163538874,"GO:0031983 vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0031983","ENSG00000080824"
0.0365383716952334,1,368,62.1766304347826,"GO:0034774 secretory granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0034774","ENSG00000080824"
0.0365383716952334,1,371,61.6738544474394,"GO:0060205 cytoplasmic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0060205","ENSG00000080824"
0.0369302040994712,1,390,58.6692307692308,"GO:0016324 apical plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0016324","ENSG00000080824"
0.0394266514628387,1,448,51.0736607142857,"GO:0030139 endocytic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0030139","ENSG00000080824"
0.0394266514628387,1,458,49.9585152838428,"GO:0045177 apical part of cell "," http://amigo.geneontology.org/amigo/term/GO:0045177","ENSG00000080824"
0.0394266514628387,1,453,50.5099337748344,"GO:0062023 collagen-containing extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0062023","ENSG00000080824"
0.0428624314548179,1,513,44.6023391812866,"GO:0043025 neuronal cell body "," http://amigo.geneontology.org/amigo/term/GO:0043025","ENSG00000080824"
0.0462971165737653,1,603,37.9452736318408,"GO:0030312 external encapsulating structure "," http://amigo.geneontology.org/amigo/term/GO:0030312","ENSG00000080824"
0.0462971165737653,1,602,38.0083056478405,"GO:0031012 extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0031012","ENSG00000080824"
0.0462971165737653,1,588,38.9132653061224,"GO:0044297 cell body "," http://amigo.geneontology.org/amigo/term/GO:0044297","ENSG00000080824"
0.0477106187083898,1,653,35.0398162327718,"GO:0030425 dendrite "," http://amigo.geneontology.org/amigo/term/GO:0030425","ENSG00000080824"
0.0477106187083898,1,655,34.9328244274809,"GO:0097447 dendritic tree "," http://amigo.geneontology.org/amigo/term/GO:0097447","ENSG00000080824"
0.0480092653293126,1,676,33.8476331360947,"GO:0030424 axon "," http://amigo.geneontology.org/amigo/term/GO:0030424","ENSG00000080824"
0.051549853377123,1,744,30.7540322580645,"GO:0005929 cilium "," http://amigo.geneontology.org/amigo/term/GO:0005929","ENSG00000080824"
0.0520810570633568,1,770,29.7155844155844,"GO:0048471 perinuclear region of cytoplasm "," http://amigo.geneontology.org/amigo/term/GO:0048471","ENSG00000080824"
0.0568788271685886,1,901,25.3951165371809,"GO:0000323 lytic vacuole "," http://amigo.geneontology.org/amigo/term/GO:0000323","ENSG00000080824"
0.0568788271685886,1,901,25.3951165371809,"GO:0005764 lysosome "," http://amigo.geneontology.org/amigo/term/GO:0005764","ENSG00000080824"
0.0568788271685886,1,888,25.7668918918919,"GO:0036477 somatodendritic compartment "," http://amigo.geneontology.org/amigo/term/GO:0036477","ENSG00000080824"
0.0609257704292421,1,1008,22.6994047619048,"GO:0005773 vacuole "," http://amigo.geneontology.org/amigo/term/GO:0005773","ENSG00000080824"
0.0609257704292421,1,987,23.1823708206687,"GO:0030141 secretory granule "," http://amigo.geneontology.org/amigo/term/GO:0030141","ENSG00000080824"
0.0621421703596872,1,1050,21.7914285714286,"GO:0009986 cell surface "," http://amigo.geneontology.org/amigo/term/GO:0009986","ENSG00000080824"
0.067541111108139,1,1165,19.6403433476395,"GO:0099503 secretory vesicle "," http://amigo.geneontology.org/amigo/term/GO:0099503","ENSG00000080824"
0.0756785105546074,1,1332,17.1779279279279,"GO:0098590 plasma membrane region "," http://amigo.geneontology.org/amigo/term/GO:0098590","ENSG00000080824"
0.0802103980441002,1,1440,15.8895833333333,"GO:0043005 neuron projection "," http://amigo.geneontology.org/amigo/term/GO:0043005","ENSG00000080824"
0.0999737773698701,1,1830,12.5032786885246,"GO:0005739 mitochondrion "," http://amigo.geneontology.org/amigo/term/GO:0005739","ENSG00000080824"
0.117618463798586,1,2343,9.76568501920615,"GO:0043230 extracellular organelle "," http://amigo.geneontology.org/amigo/term/GO:0043230","ENSG00000080824"
0.117618463798586,1,2343,9.76568501920615,"GO:0065010 extracellular membrane-bounded organelle "," http://amigo.geneontology.org/amigo/term/GO:0065010","ENSG00000080824"
0.117618463798586,1,2316,9.87953367875648,"GO:0070062 extracellular exosome "," http://amigo.geneontology.org/amigo/term/GO:0070062","ENSG00000080824"
0.117618463798586,1,2360,9.69533898305085,"GO:0120025 plasma membrane bounded cell projection "," http://amigo.geneontology.org/amigo/term/GO:0120025","ENSG00000080824"
0.117618463798586,1,2342,9.76985482493595,"GO:1903561 extracellular vesicle "," http://amigo.geneontology.org/amigo/term/GO:1903561","ENSG00000080824"
0.121321108162321,1,2477,9.23738393217602,"GO:0042995 cell projection "," http://amigo.geneontology.org/amigo/term/GO:0042995","ENSG00000080824"
0.134984630625119,1,2849,8.03123903123903,"GO:0031410 cytoplasmic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0031410","ENSG00000080824"
0.134984630625119,1,2851,8.02560505085935,"GO:0097708 intracellular vesicle "," http://amigo.geneontology.org/amigo/term/GO:0097708","ENSG00000080824"
0.166581765528132,1,3577,6.39670114621191,"GO:0005615 extracellular space "," http://amigo.geneontology.org/amigo/term/GO:0005615","ENSG00000080824"
