"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00177549058170579,1,3,7627,"GO:0002134 UTP binding "," http://amigo.geneontology.org/amigo/term/GO:0002134","ENSG00000080824"
0.00177549058170579,1,3,7627,"GO:0017098 sulfonylurea receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0017098","ENSG00000080824"
0.00177549058170579,1,5,4576.2,"GO:0032552 deoxyribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032552","ENSG00000080824"
0.00177549058170579,1,4,5720.25,"GO:0032554 purine deoxyribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032554","ENSG00000080824"
0.00177549058170579,1,4,5720.25,"GO:0032557 pyrimidine ribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032557","ENSG00000080824"
0.00177549058170579,1,3,7627,"GO:0032558 adenyl deoxyribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032558","ENSG00000080824"
0.00177549058170579,1,5,4576.2,"GO:0051021 GDP-dissociation inhibitor binding "," http://amigo.geneontology.org/amigo/term/GO:0051021","ENSG00000080824"
0.00177549058170579,1,4,5720.25,"GO:0051022 Rho GDP-dissociation inhibitor binding "," http://amigo.geneontology.org/amigo/term/GO:0051022","ENSG00000080824"
0.0018077722286451,1,7,3268.71428571429,"GO:0019103 pyrimidine nucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0019103","ENSG00000080824"
0.0018077722286451,1,7,3268.71428571429,"GO:0030235 nitric-oxide synthase regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0030235","ENSG00000080824"
0.0018077722286451,1,6,3813.5,"GO:0030911 TPR domain binding "," http://amigo.geneontology.org/amigo/term/GO:0030911","ENSG00000080824"
0.00473464155121422,1,20,1144.05,"GO:0070182 DNA polymerase binding "," http://amigo.geneontology.org/amigo/term/GO:0070182","ENSG00000080824"
0.00808531095668863,1,37,618.405405405405,"GO:0097718 disordered domain specific binding "," http://amigo.geneontology.org/amigo/term/GO:0097718","ENSG00000080824"
0.00871174045423417,1,43,532.116279069767,"GO:0048156 tau protein binding "," http://amigo.geneontology.org/amigo/term/GO:0048156","ENSG00000080824"
0.00871174045423417,1,46,497.413043478261,"GO:0140662 ATP-dependent protein folding chaperone "," http://amigo.geneontology.org/amigo/term/GO:0140662","ENSG00000080824"
0.0111960347269874,1,66,346.681818181818,"GO:0044183 protein folding chaperone "," http://amigo.geneontology.org/amigo/term/GO:0044183","ENSG00000080824"
0.0111960347269874,1,67,341.507462686567,"GO:0097110 scaffold protein binding "," http://amigo.geneontology.org/amigo/term/GO:0097110","ENSG00000080824"
0.0146773888087655,1,93,246.032258064516,"GO:0023026 MHC class II protein complex binding "," http://amigo.geneontology.org/amigo/term/GO:0023026","ENSG00000080824"
0.0158485896135393,1,106,215.858490566038,"GO:0023023 MHC protein complex binding "," http://amigo.geneontology.org/amigo/term/GO:0023023","ENSG00000080824"
0.0169211971960801,1,135,169.488888888889,"GO:0042826 histone deacetylase binding "," http://amigo.geneontology.org/amigo/term/GO:0042826","ENSG00000080824"
0.0169211971960801,1,135,169.488888888889,"GO:0044325 transmembrane transporter binding "," http://amigo.geneontology.org/amigo/term/GO:0044325","ENSG00000080824"
0.0169211971960801,1,137,167.014598540146,"GO:0051082 unfolded protein binding "," http://amigo.geneontology.org/amigo/term/GO:0051082","ENSG00000080824"
0.0169211971960801,1,122,187.549180327869,"GO:1990782 protein tyrosine kinase binding "," http://amigo.geneontology.org/amigo/term/GO:1990782","ENSG00000080824"
0.0198854945150997,1,168,136.196428571429,"GO:0019903 protein phosphatase binding "," http://amigo.geneontology.org/amigo/term/GO:0019903","ENSG00000080824"
0.0251125387876404,1,221,103.533936651584,"GO:0019902 phosphatase binding "," http://amigo.geneontology.org/amigo/term/GO:0019902","ENSG00000080824"
0.0344952455874182,1,337,67.8961424332344,"GO:0003729 mRNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003729","ENSG00000080824"
0.0344952455874182,1,340,67.2970588235294,"GO:0031625 ubiquitin protein ligase binding "," http://amigo.geneontology.org/amigo/term/GO:0031625","ENSG00000080824"
0.0344952455874182,1,329,69.5471124620061,"GO:0051020 GTPase binding "," http://amigo.geneontology.org/amigo/term/GO:0051020","ENSG00000080824"
0.0350690001793387,1,358,63.9134078212291,"GO:0044389 ubiquitin-like protein ligase binding "," http://amigo.geneontology.org/amigo/term/GO:0044389","ENSG00000080824"
0.0356045044651312,1,376,60.8537234042553,"GO:0016887 ATP hydrolysis activity "," http://amigo.geneontology.org/amigo/term/GO:0016887","ENSG00000080824"
0.0373606260586722,1,411,55.6715328467153,"GO:0005525 GTP binding "," http://amigo.geneontology.org/amigo/term/GO:0005525","ENSG00000080824"
0.0373606260586722,1,434,52.721198156682,"GO:0019001 guanyl nucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0019001","ENSG00000080824"
0.0373606260586722,1,434,52.721198156682,"GO:0032561 guanyl ribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032561","ENSG00000080824"
0.0537242561899547,1,643,35.5847589424572,"GO:0140657 ATP-dependent activity "," http://amigo.geneontology.org/amigo/term/GO:0140657","ENSG00000080824"
0.0547370754945245,1,787,29.0736975857687,"GO:0016462 pyrophosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0016462","ENSG00000080824"
0.0547370754945245,1,790,28.9632911392405,"GO:0016817 hydrolase activity acting on acid anhydrides "," http://amigo.geneontology.org/amigo/term/GO:0016817","ENSG00000080824"
