"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0454802156170145,2,15,203.386666666667,"GO:0032905 transforming growth factor beta1 production "," http://amigo.geneontology.org/amigo/term/GO:0032905"," COL3A1  GATA6"
0.0454802156170145,2,30,101.693333333333,"GO:1990776 response to angiotensin "," http://amigo.geneontology.org/amigo/term/GO:1990776"," PRKCD  COL3A1"
0.0454802156170145,2,32,95.3375,"GO:0003309 type B pancreatic cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0003309"," GATA6  SIDT2"
0.0459389788712322,2,38,80.2842105263158,"GO:0035883 enteroendocrine cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0035883"," GATA6  SIDT2"
0.0484243900976815,2,45,67.7955555555556,"GO:0002920 reg. of humoral immune response "," http://amigo.geneontology.org/amigo/term/GO:0002920"," GATA6  C3"
0.0484243900976815,2,45,67.7955555555556,"GO:0071604 transforming growth factor beta production "," http://amigo.geneontology.org/amigo/term/GO:0071604"," GATA6  COL3A1"
0.0454802156170145,3,152,30.1065789473684,"GO:0016064 immunoglobulin mediated immune response "," http://amigo.geneontology.org/amigo/term/GO:0016064"," C3  C1R  PRKCD"
0.0454802156170145,3,162,28.2481481481482,"GO:0019724 B cell mediated immunity "," http://amigo.geneontology.org/amigo/term/GO:0019724"," C3  C1R  PRKCD"
0.0484243900976815,5,1054,7.23624288425047,"GO:0050776 reg. of immune response "," http://amigo.geneontology.org/amigo/term/GO:0050776"," C3  GATA6  C1R  COL3A1  PRKCD"
0.0459389788712322,6,1516,6.03720316622691,"GO:0006629 lipid metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0006629"," C3  PRKCD  BCAT2  SLC44A2  GATA6  CYB5R1"
