"N","High level GO category","Genes"
11,"GO:0005576 extracellular region "," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  COL3A1  IDH2  COL16A1  XYLT2  C1R"
10,"GO:0005615 extracellular space "," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2  COL16A1  COL3A1  XYLT2"
7,"GO:0043230 extracellular organelle "," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
7,"GO:1903561 extracellular vesicle "," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
6,"GO:0031090 organelle membrane "," SLC44A2  GATA6  SIDT2  XYLT2  CTSA  CYB5R1"
2,"GO:0030054 cell junction "," SGSM3  PRKCD"
2,"GO:0099512 supramolecular fiber "," COL16A1  COL3A1"
2,"GO:0005911 cell-cell junction "," SGSM3  PRKCD"
2,"GO:0031012 extracellular matrix "," COL16A1  COL3A1"
2,"GO:0070161 anchoring junction "," SGSM3  PRKCD"
1,"GO:0005789 endoplasmic reticulum membrane "," CYB5R1"
1,"GO:0042175 nuclear outer membrane-endoplasmic reticulum membrane network "," CYB5R1"
1,"GO:0072562 blood microparticle "," C3"
1,"GO:0098552 side of membrane "," CTSA"
1,"GO:0098576 lumenal side of membrane "," CTSA"
