"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000775677402243651,2,16,190.675,"GO:0005583 fibrillar collagen trimer "," http://amigo.geneontology.org/amigo/term/GO:0005583"," COL16A1  COL3A1"
0.000775677402243651,2,16,190.675,"GO:0098643 banded collagen fibril "," http://amigo.geneontology.org/amigo/term/GO:0098643"," COL16A1  COL3A1"
0.00161063631209915,2,26,117.338461538462,"GO:0098644 complex of collagen trimers "," http://amigo.geneontology.org/amigo/term/GO:0098644"," COL16A1  COL3A1"
0.000775677402243651,3,105,43.5828571428571,"GO:0035578 azurophil granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0035578"," CTSA  C3  PRKCD"
0.00161063631209915,3,170,26.9188235294118,"GO:0005766 primary lysosome "," http://amigo.geneontology.org/amigo/term/GO:0005766"," CTSA  C3  PRKCD"
0.00161063631209915,3,170,26.9188235294118,"GO:0042582 azurophil granule "," http://amigo.geneontology.org/amigo/term/GO:0042582"," CTSA  C3  PRKCD"
0.00161063631209915,3,207,22.1072463768116,"GO:0005775 vacuolar lumen "," http://amigo.geneontology.org/amigo/term/GO:0005775"," CTSA  C3  PRKCD"
0.00477456597231234,3,329,13.9094224924012,"GO:0005788 endoplasmic reticulum lumen "," http://amigo.geneontology.org/amigo/term/GO:0005788"," COL16A1  C3  COL3A1"
0.00161063631209915,5,901,8.46503884572697,"GO:0000323 lytic vacuole "," http://amigo.geneontology.org/amigo/term/GO:0000323"," SLC44A2  SIDT2  PRKCD  CTSA  C3"
0.00161063631209915,5,901,8.46503884572697,"GO:0005764 lysosome "," http://amigo.geneontology.org/amigo/term/GO:0005764"," SLC44A2  SIDT2  PRKCD  CTSA  C3"
0.00161063631209915,5,987,7.7274569402229,"GO:0030141 secretory granule "," http://amigo.geneontology.org/amigo/term/GO:0030141"," CTSA  C3  SLC44A2  CYB5R1  PRKCD"
0.00161063631209915,5,1008,7.56646825396825,"GO:0005773 vacuole "," http://amigo.geneontology.org/amigo/term/GO:0005773"," SLC44A2  SIDT2  PRKCD  CTSA  C3"
0.00282859137541555,5,1165,6.54678111587983,"GO:0099503 secretory vesicle "," http://amigo.geneontology.org/amigo/term/GO:0099503"," CTSA  C3  SLC44A2  CYB5R1  PRKCD"
0.00161063631209915,7,2262,4.72051282051282,"GO:0005783 endoplasmic reticulum "," http://amigo.geneontology.org/amigo/term/GO:0005783"," PRKCD  NUCB2  COL16A1  CTSA  C3  CYB5R1  COL3A1"
0.00161063631209915,7,2316,4.61044905008636,"GO:0070062 extracellular exosome "," http://amigo.geneontology.org/amigo/term/GO:0070062"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00161063631209915,7,2342,4.55926558497011,"GO:1903561 extracellular vesicle "," http://amigo.geneontology.org/amigo/term/GO:1903561"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00161063631209915,7,2343,4.55731967562953,"GO:0043230 extracellular organelle "," http://amigo.geneontology.org/amigo/term/GO:0043230"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00161063631209915,7,2343,4.55731967562953,"GO:0065010 extracellular membrane-bounded organelle "," http://amigo.geneontology.org/amigo/term/GO:0065010"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00061867472984004,10,3577,4.26446743080794,"GO:0005615 extracellular space "," http://amigo.geneontology.org/amigo/term/GO:0005615"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2  COL16A1  COL3A1  XYLT2"
0.00061867472984004,11,4673,3.5907126043227,"GO:0005576 extracellular region "," http://amigo.geneontology.org/amigo/term/GO:0005576"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  COL3A1  IDH2  COL16A1  XYLT2  C1R"
