"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00061867472984004,11,4673,3.5907126043227,"GO:0005576 extracellular region "," http://amigo.geneontology.org/amigo/term/GO:0005576"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  COL3A1  IDH2  COL16A1  XYLT2  C1R"
0.00061867472984004,10,3577,4.26446743080794,"GO:0005615 extracellular space "," http://amigo.geneontology.org/amigo/term/GO:0005615"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2  COL16A1  COL3A1  XYLT2"
0.000775677402243651,2,16,190.675,"GO:0005583 fibrillar collagen trimer "," http://amigo.geneontology.org/amigo/term/GO:0005583"," COL16A1  COL3A1"
0.000775677402243651,3,105,43.5828571428571,"GO:0035578 azurophil granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0035578"," CTSA  C3  PRKCD"
0.000775677402243651,2,16,190.675,"GO:0098643 banded collagen fibril "," http://amigo.geneontology.org/amigo/term/GO:0098643"," COL16A1  COL3A1"
0.00161063631209915,5,901,8.46503884572697,"GO:0000323 lytic vacuole "," http://amigo.geneontology.org/amigo/term/GO:0000323"," SLC44A2  SIDT2  PRKCD  CTSA  C3"
0.00161063631209915,5,901,8.46503884572697,"GO:0005764 lysosome "," http://amigo.geneontology.org/amigo/term/GO:0005764"," SLC44A2  SIDT2  PRKCD  CTSA  C3"
0.00161063631209915,3,170,26.9188235294118,"GO:0005766 primary lysosome "," http://amigo.geneontology.org/amigo/term/GO:0005766"," CTSA  C3  PRKCD"
0.00161063631209915,5,1008,7.56646825396825,"GO:0005773 vacuole "," http://amigo.geneontology.org/amigo/term/GO:0005773"," SLC44A2  SIDT2  PRKCD  CTSA  C3"
0.00161063631209915,3,207,22.1072463768116,"GO:0005775 vacuolar lumen "," http://amigo.geneontology.org/amigo/term/GO:0005775"," CTSA  C3  PRKCD"
0.00161063631209915,7,2262,4.72051282051282,"GO:0005783 endoplasmic reticulum "," http://amigo.geneontology.org/amigo/term/GO:0005783"," PRKCD  NUCB2  COL16A1  CTSA  C3  CYB5R1  COL3A1"
0.00161063631209915,5,987,7.7274569402229,"GO:0030141 secretory granule "," http://amigo.geneontology.org/amigo/term/GO:0030141"," CTSA  C3  SLC44A2  CYB5R1  PRKCD"
0.00161063631209915,3,170,26.9188235294118,"GO:0042582 azurophil granule "," http://amigo.geneontology.org/amigo/term/GO:0042582"," CTSA  C3  PRKCD"
0.00161063631209915,7,2343,4.55731967562953,"GO:0043230 extracellular organelle "," http://amigo.geneontology.org/amigo/term/GO:0043230"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00161063631209915,7,2343,4.55731967562953,"GO:0065010 extracellular membrane-bounded organelle "," http://amigo.geneontology.org/amigo/term/GO:0065010"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00161063631209915,7,2316,4.61044905008636,"GO:0070062 extracellular exosome "," http://amigo.geneontology.org/amigo/term/GO:0070062"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00161063631209915,2,26,117.338461538462,"GO:0098644 complex of collagen trimers "," http://amigo.geneontology.org/amigo/term/GO:0098644"," COL16A1  COL3A1"
0.00161063631209915,7,2342,4.55926558497011,"GO:1903561 extracellular vesicle "," http://amigo.geneontology.org/amigo/term/GO:1903561"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.00282859137541555,5,1165,6.54678111587983,"GO:0099503 secretory vesicle "," http://amigo.geneontology.org/amigo/term/GO:0099503"," CTSA  C3  SLC44A2  CYB5R1  PRKCD"
0.00477456597231234,3,329,13.9094224924012,"GO:0005788 endoplasmic reticulum lumen "," http://amigo.geneontology.org/amigo/term/GO:0005788"," COL16A1  C3  COL3A1"
0.00595257248795605,3,373,12.2686327077748,"GO:0031983 vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0031983"," CTSA  C3  PRKCD"
0.00595257248795605,3,368,12.4353260869565,"GO:0034774 secretory granule lumen "," http://amigo.geneontology.org/amigo/term/GO:0034774"," CTSA  C3  PRKCD"
0.00595257248795605,3,371,12.3347708894879,"GO:0060205 cytoplasmic vesicle lumen "," http://amigo.geneontology.org/amigo/term/GO:0060205"," CTSA  C3  PRKCD"
0.00684483355269601,2,103,29.6194174757282,"GO:0005581 collagen trimer "," http://amigo.geneontology.org/amigo/term/GO:0005581"," COL16A1  COL3A1"
0.00848833709219321,1,4,381.35,"GO:0005588 collagen type V trimer "," http://amigo.geneontology.org/amigo/term/GO:0005588"," COL16A1"
0.0122353057196178,1,6,254.233333333333,"GO:0005593 FACIT collagen trimer "," http://amigo.geneontology.org/amigo/term/GO:0005593"," COL16A1"
0.0137094405282604,3,537,8.52178770949721,"GO:0005765 lysosomal membrane "," http://amigo.geneontology.org/amigo/term/GO:0005765"," SLC44A2  SIDT2  CTSA"
0.0137094405282604,3,537,8.52178770949721,"GO:0098852 lytic vacuole membrane "," http://amigo.geneontology.org/amigo/term/GO:0098852"," SLC44A2  SIDT2  CTSA"
0.0138182932749074,5,1830,4.16775956284153,"GO:0005739 mitochondrion "," http://amigo.geneontology.org/amigo/term/GO:0005739"," CYB5R1  IDH2  BCAT2  SLC44A2  PRKCD"
0.0165489898974715,3,589,7.76943972835314,"GO:0005774 vacuolar membrane "," http://amigo.geneontology.org/amigo/term/GO:0005774"," SLC44A2  SIDT2  CTSA"
0.0391332642785355,1,23,66.3217391304348,"GO:0031092 platelet alpha granule membrane "," http://amigo.geneontology.org/amigo/term/GO:0031092"," CYB5R1"
0.0400142827542505,7,4466,2.39090909090909,"GO:0031982 vesicle "," http://amigo.geneontology.org/amigo/term/GO:0031982"," CTSA  NUCB2  C3  SLC44A2  CYB5R1  PRKCD  IDH2"
0.0413276938857358,5,2452,3.1105220228385,"GO:0098588 bounding membrane of organelle "," http://amigo.geneontology.org/amigo/term/GO:0098588"," SLC44A2  SIDT2  XYLT2  CTSA  CYB5R1"
0.0464401633564739,1,30,50.8466666666667,"GO:0036019 endolysosome "," http://amigo.geneontology.org/amigo/term/GO:0036019"," PRKCD"
0.0518574917116181,2,358,8.52178770949721,"GO:0030667 secretory granule membrane "," http://amigo.geneontology.org/amigo/term/GO:0030667"," SLC44A2  CYB5R1"
0.052535865980789,1,36,42.3722222222222,"GO:0005921 gap junction "," http://amigo.geneontology.org/amigo/term/GO:0005921"," SGSM3"
0.0653174775688008,5,2849,2.67707967707968,"GO:0031410 cytoplasmic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0031410"," PRKCD  CTSA  C3  SLC44A2  CYB5R1"
0.0653174775688008,5,2851,2.67520168361978,"GO:0097708 intracellular vesicle "," http://amigo.geneontology.org/amigo/term/GO:0097708"," PRKCD  CTSA  C3  SLC44A2  CYB5R1"
0.071940251589075,2,453,6.73465783664459,"GO:0062023 collagen-containing extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0062023"," COL16A1  COL3A1"
0.0812834917479245,6,4154,2.20327395281656,"GO:0031090 organelle membrane "," http://amigo.geneontology.org/amigo/term/GO:0031090"," SLC44A2  GATA6  SIDT2  XYLT2  CTSA  CYB5R1"
0.0879532207943355,2,520,5.86692307692308,"GO:0005759 mitochondrial matrix "," http://amigo.geneontology.org/amigo/term/GO:0005759"," BCAT2  IDH2"
0.0879795561816623,2,529,5.76710775047259,"GO:0005635 nuclear envelope "," http://amigo.geneontology.org/amigo/term/GO:0005635"," GATA6  NUCB2"
0.0879795561816623,2,534,5.71310861423221,"GO:0005911 cell-cell junction "," http://amigo.geneontology.org/amigo/term/GO:0005911"," SGSM3  PRKCD"
0.104481552935572,2,603,5.05936981757877,"GO:0030312 external encapsulating structure "," http://amigo.geneontology.org/amigo/term/GO:0030312"," COL16A1  COL3A1"
0.104481552935572,2,602,5.06777408637874,"GO:0031012 extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0031012"," COL16A1  COL3A1"
0.112004262087145,1,100,15.254,"GO:0031091 platelet alpha granule "," http://amigo.geneontology.org/amigo/term/GO:0031091"," CYB5R1"
0.12549156613787,1,115,13.264347826087,"GO:0043202 lysosomal lumen "," http://amigo.geneontology.org/amigo/term/GO:0043202"," CTSA"
0.125967940230171,1,118,12.9271186440678,"GO:0098576 lumenal side of membrane "," http://amigo.geneontology.org/amigo/term/GO:0098576"," CTSA"
0.12843093827445,1,123,12.4016260162602,"GO:0035579 specific granule membrane "," http://amigo.geneontology.org/amigo/term/GO:0035579"," SLC44A2"
0.132743204834436,1,130,11.7338461538462,"GO:0016363 nuclear matrix "," http://amigo.geneontology.org/amigo/term/GO:0016363"," PRKCD"
0.140682643928253,1,141,10.8184397163121,"GO:0072562 blood microparticle "," http://amigo.geneontology.org/amigo/term/GO:0072562"," C3"
0.142797374974408,1,154,9.9051948051948,"GO:0005777 peroxisome "," http://amigo.geneontology.org/amigo/term/GO:0005777"," IDH2"
0.142797374974408,1,154,9.9051948051948,"GO:0005793 endoplasmic reticulum-Golgi intermediate compartment "," http://amigo.geneontology.org/amigo/term/GO:0005793"," NUCB2"
0.142797374974408,1,155,9.84129032258065,"GO:0034399 nuclear periphery "," http://amigo.geneontology.org/amigo/term/GO:0034399"," PRKCD"
0.142797374974408,1,154,9.9051948051948,"GO:0042579 microbody "," http://amigo.geneontology.org/amigo/term/GO:0042579"," IDH2"
0.175585239109404,2,926,3.29460043196544,"GO:0070161 anchoring junction "," http://amigo.geneontology.org/amigo/term/GO:0070161"," SGSM3  PRKCD"
0.185241970096366,1,212,7.19528301886792,"GO:0042581 specific granule "," http://amigo.geneontology.org/amigo/term/GO:0042581"," SLC44A2"
