"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0492289773740702,2,45,67.7955555555556,"GO:0030020 extracellular matrix structural constituent conferring tensile strength "," http://amigo.geneontology.org/amigo/term/GO:0030020"," COL16A1  COL3A1"
0.0519939951817712,1,7,217.914285714286,"GO:0004128 cytochrome-b5 reductase activity acting on NAD(P)H "," http://amigo.geneontology.org/amigo/term/GO:0004128"," CYB5R1"
0.0519939951817712,1,5,305.08,"GO:0004185 serine-type carboxypeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0004185"," CTSA"
0.0519939951817712,1,5,305.08,"GO:0004448 isocitrate dehydrogenase activity "," http://amigo.geneontology.org/amigo/term/GO:0004448"," IDH2"
0.0519939951817712,1,3,508.466666666667,"GO:0004699 calcium-independent protein kinase C activity "," http://amigo.geneontology.org/amigo/term/GO:0004699"," PRKCD"
0.0519939951817712,2,164,18.6024390243902,"GO:0005178 integrin binding "," http://amigo.geneontology.org/amigo/term/GO:0005178"," COL16A1  COL3A1"
0.0519939951817712,2,187,16.3144385026738,"GO:0005201 extracellular matrix structural constituent "," http://amigo.geneontology.org/amigo/term/GO:0005201"," COL16A1  COL3A1"
0.0519939951817712,3,601,7.61430948419301,"GO:0008047 enzyme activator activity "," http://amigo.geneontology.org/amigo/term/GO:0008047"," SGSM3  PRKCD  CTSA"
0.0519939951817712,1,11,138.672727272727,"GO:0016653 oxidoreductase activity acting on NAD(P)H heme protein as acceptor "," http://amigo.geneontology.org/amigo/term/GO:0016653"," CYB5R1"
0.0519939951817712,1,3,508.466666666667,"GO:0030158 protein xylosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0030158"," XYLT2"
0.0519939951817712,5,1379,5.53081943437273,"GO:0030234 enzyme regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0030234"," SGSM3  PRKCD  NUCB2  C3  CTSA"
0.0519939951817712,1,12,127.116666666667,"GO:0035252 UDP-xylosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0035252"," XYLT2"
0.0519939951817712,1,9,169.488888888889,"GO:0035612 AP-2 adaptor complex binding "," http://amigo.geneontology.org/amigo/term/GO:0035612"," SIDT2"
0.0519939951817712,1,5,305.08,"GO:0035650 AP-1 adaptor complex binding "," http://amigo.geneontology.org/amigo/term/GO:0035650"," SIDT2"
0.0519939951817712,1,12,127.116666666667,"GO:0042285 xylosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0042285"," XYLT2"
0.0519939951817712,1,10,152.54,"GO:0043560 insulin receptor substrate binding "," http://amigo.geneontology.org/amigo/term/GO:0043560"," PRKCD"
0.0519939951817712,1,11,138.672727272727,"GO:0048407 platelet-derived growth factor binding "," http://amigo.geneontology.org/amigo/term/GO:0048407"," COL3A1"
0.0519939951817712,1,6,254.233333333333,"GO:0051525 NFAT protein binding "," http://amigo.geneontology.org/amigo/term/GO:0051525"," GATA6"
0.0519939951817712,1,10,152.54,"GO:0070008 serine-type exopeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0070008"," CTSA"
0.0534941286278357,1,13,117.338461538462,"GO:0015220 choline transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0015220"," SLC44A2"
0.0541080780669767,2,236,12.9271186440678,"GO:0000287 magnesium ion binding "," http://amigo.geneontology.org/amigo/term/GO:0000287"," XYLT2  IDH2"
0.0541080780669767,2,227,13.4396475770925,"GO:0008236 serine-type peptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0008236"," CTSA  C1R"
0.0541080780669767,2,231,13.2069264069264,"GO:0017171 serine hydrolase activity "," http://amigo.geneontology.org/amigo/term/GO:0017171"," CTSA  C1R"
0.0541080780669767,5,2176,3.50505514705882,"GO:0098772 molecular function regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0098772"," SGSM3  PRKCD  NUCB2  C3  CTSA"
0.0591645390773365,1,18,84.7444444444444,"GO:0004698 calcium-dependent protein kinase C activity "," http://amigo.geneontology.org/amigo/term/GO:0004698"," PRKCD"
0.0600311297746363,1,19,80.2842105263158,"GO:0004697 protein kinase C activity "," http://amigo.geneontology.org/amigo/term/GO:0004697"," PRKCD"
0.0716820185918549,1,26,58.6692307692308,"GO:0001965 G-protein alpha-subunit binding "," http://amigo.geneontology.org/amigo/term/GO:0001965"," NUCB2"
0.0716820185918549,1,27,56.4962962962963,"GO:0008483 transaminase activity "," http://amigo.geneontology.org/amigo/term/GO:0008483"," BCAT2"
0.0716820185918549,1,24,63.5583333333333,"GO:0009931 calcium-dependent protein serine/threonine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0009931"," PRKCD"
0.0716820185918549,1,25,61.016,"GO:0010857 calcium-dependent protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0010857"," PRKCD"
0.0716820185918549,1,28,54.4785714285714,"GO:0016769 transferase activity transferring nitrogenous groups "," http://amigo.geneontology.org/amigo/term/GO:0016769"," BCAT2"
0.0716820185918549,1,28,54.4785714285714,"GO:0022884 macromolecule transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0022884"," SIDT2"
0.0747096639870867,7,4647,2.29778351624704,"GO:0046872 metal ion binding "," http://amigo.geneontology.org/amigo/term/GO:0046872"," NUCB2  XYLT2  GATA6  C1R  PRKCD  COL3A1  IDH2"
0.0779968089294425,1,33,46.2242424242424,"GO:0015101 organic cation transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0015101"," SLC44A2"
0.0779968089294425,7,4737,2.25412708465273,"GO:0043169 cation binding "," http://amigo.geneontology.org/amigo/term/GO:0043169"," NUCB2  XYLT2  GATA6  C1R  PRKCD  COL3A1  IDH2"
0.090691956247545,1,40,38.135,"GO:0071949 FAD binding "," http://amigo.geneontology.org/amigo/term/GO:0071949"," CYB5R1"
0.0925963425509909,1,42,36.3190476190476,"GO:0001223 transcription coactivator binding "," http://amigo.geneontology.org/amigo/term/GO:0001223"," GATA6"
0.0981560687828638,1,47,32.4553191489362,"GO:0004180 carboxypeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0004180"," CTSA"
0.0981560687828638,1,47,32.4553191489362,"GO:0004715 non-membrane spanning protein tyrosine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004715"," PRKCD"
0.107722214327818,1,53,28.7811320754717,"GO:0015932 nucleobase-containing compound transmembrane transporter activity "," http://amigo.geneontology.org/amigo/term/GO:0015932"," SIDT2"
0.113998189796763,1,58,26.3,"GO:0016763 pentosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0016763"," XYLT2"
0.113998189796763,1,59,25.8542372881356,"GO:0051287 NAD binding "," http://amigo.geneontology.org/amigo/term/GO:0051287"," IDH2"
0.127980885523763,1,68,22.4323529411765,"GO:0030145 manganese ion binding "," http://amigo.geneontology.org/amigo/term/GO:0030145"," XYLT2"
0.132987417236039,2,539,5.66011131725417,"GO:0030695 GTPase regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0030695"," SGSM3  NUCB2"
0.132987417236039,2,539,5.66011131725417,"GO:0060589 nucleoside-triphosphatase regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0060589"," SGSM3  NUCB2"
0.133383707937237,1,76,20.0710526315789,"GO:0003725 double-stranded RNA binding "," http://amigo.geneontology.org/amigo/term/GO:0003725"," SIDT2"
0.135834208288019,4,2237,2.72758158247653,"GO:0019899 enzyme binding "," http://amigo.geneontology.org/amigo/term/GO:0019899"," SGSM3  PRKCD  GATA6  COL3A1"
0.135834208288019,1,80,19.0675,"GO:0046332 SMAD binding "," http://amigo.geneontology.org/amigo/term/GO:0046332"," COL3A1"
0.144700553054239,1,90,16.9488888888889,"GO:0050660 flavin adenine dinucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0050660"," CYB5R1"
0.144700553054239,2,594,5.13602693602694,"GO:0050839 cell adhesion molecule binding "," http://amigo.geneontology.org/amigo/term/GO:0050839"," COL16A1  COL3A1"
0.157147592122269,1,100,15.254,"GO:0008238 exopeptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0008238"," CTSA"
0.162156766950455,1,107,14.2560747663551,"GO:0016651 oxidoreductase activity acting on NAD(P)H "," http://amigo.geneontology.org/amigo/term/GO:0016651"," CYB5R1"
0.162156766950455,3,1477,3.09830737982397,"GO:0044877 protein-containing complex binding "," http://amigo.geneontology.org/amigo/term/GO:0044877"," COL16A1  SIDT2  COL3A1"
0.173427760793269,2,694,4.39596541786744,"GO:0008233 peptidase activity "," http://amigo.geneontology.org/amigo/term/GO:0008233"," CTSA  C1R"
0.173804036170051,1,120,12.7116666666667,"GO:0001221 transcription coregulator binding "," http://amigo.geneontology.org/amigo/term/GO:0001221"," GATA6"
0.17897529520009,4,2577,2.36771439658518,"GO:0140096 catalytic activity acting on a protein "," http://amigo.geneontology.org/amigo/term/GO:0140096"," PRKCD  XYLT2  CTSA  C1R"
0.183204156347966,2,739,4.12828146143437,"GO:0019901 protein kinase binding "," http://amigo.geneontology.org/amigo/term/GO:0019901"," GATA6  PRKCD"
0.19192455694531,1,161,9.47453416149068,"GO:0002020 protease binding "," http://amigo.geneontology.org/amigo/term/GO:0002020"," COL3A1"
0.19192455694531,1,159,9.5937106918239,"GO:0004713 protein tyrosine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004713"," PRKCD"
0.19192455694531,3,1728,2.64826388888889,"GO:0005102 signaling receptor binding "," http://amigo.geneontology.org/amigo/term/GO:0005102"," COL16A1  C3  COL3A1"
0.19192455694531,2,775,3.93651612903226,"GO:0005509 calcium ion binding "," http://amigo.geneontology.org/amigo/term/GO:0005509"," NUCB2  C1R"
0.19192455694531,1,157,9.71592356687898,"GO:0008194 UDP-glycosyltransferase activity "," http://amigo.geneontology.org/amigo/term/GO:0008194"," XYLT2"
0.19192455694531,2,820,3.72048780487805,"GO:0016491 oxidoreductase activity "," http://amigo.geneontology.org/amigo/term/GO:0016491"," IDH2  CYB5R1"
0.19192455694531,1,151,10.1019867549669,"GO:0016616 oxidoreductase activity acting on the CH-OH group of donors NAD or NADP as acceptor "," http://amigo.geneontology.org/amigo/term/GO:0016616"," IDH2"
