"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0206684753557709,1,14,817.178571428571,"GO:0010273 detoxification of copper ion "," http://amigo.geneontology.org/amigo/term/GO:0010273"," MT1E"
0.0206684753557709,1,14,817.178571428571,"GO:1990169 stress response to copper ion "," http://amigo.geneontology.org/amigo/term/GO:1990169"," MT1E"
0.0206684753557709,1,17,672.970588235294,"GO:0061687 detoxification of inorganic compound "," http://amigo.geneontology.org/amigo/term/GO:0061687"," MT1E"
0.0206684753557709,1,18,635.583333333333,"GO:0097501 stress response to metal ion "," http://amigo.geneontology.org/amigo/term/GO:0097501"," MT1E"
0.0206684753557709,1,20,572.025,"GO:0001502 cartilage condensation "," http://amigo.geneontology.org/amigo/term/GO:0001502"," BMP1"
0.0206684753557709,1,23,497.413043478261,"GO:0071294 cellular response to zinc ion "," http://amigo.geneontology.org/amigo/term/GO:0071294"," MT1E"
0.0206684753557709,1,23,497.413043478261,"GO:0098743 cell aggregation "," http://amigo.geneontology.org/amigo/term/GO:0098743"," BMP1"
0.0217640071902773,1,31,369.048387096774,"GO:0071280 cellular response to copper ion "," http://amigo.geneontology.org/amigo/term/GO:0071280"," MT1E"
0.0217640071902773,1,32,357.515625,"GO:0061036 positive reg. of cartilage development "," http://amigo.geneontology.org/amigo/term/GO:0061036"," BMP1"
0.0217640071902773,1,41,279.036585365854,"GO:0071276 cellular response to cadmium ion "," http://amigo.geneontology.org/amigo/term/GO:0071276"," MT1E"
0.0217640071902773,1,43,266.058139534884,"GO:0006882 cellular zinc ion homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0006882"," MT1E"
0.0217640071902773,1,45,254.233333333333,"GO:0055069 zinc ion homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0055069"," MT1E"
0.0288271543047545,1,78,146.673076923077,"GO:0030199 collagen fibril organization "," http://amigo.geneontology.org/amigo/term/GO:0030199"," BMP1"
0.0331471007031499,1,95,120.426315789474,"GO:0009953 dorsal/ventral pattern formation "," http://amigo.geneontology.org/amigo/term/GO:0009953"," BMP1"
0.0386560462923532,1,117,97.7820512820513,"GO:0046916 cellular transition metal ion homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0046916"," MT1E"
