"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0102268257506203,1,20,1144.05,"GO:0098884 postsynaptic neurotransmitter receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0098884","ENSG00000183020"
0.0102268257506203,1,27,847.444444444444,"GO:0099590 neurotransmitter receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0099590","ENSG00000183020"
0.0102268257506203,1,20,1144.05,"GO:0140239 postsynaptic endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0140239","ENSG00000183020"
0.0147720816397855,1,52,440.019230769231,"GO:0072583 clathrin-dependent endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0072583","ENSG00000183020"
0.0152266072287029,1,67,341.507462686567,"GO:0099072 regulation of postsynaptic membrane neurotransmitter receptor levels "," http://amigo.geneontology.org/amigo/term/GO:0099072","ENSG00000183020"
0.0249989073904111,1,132,173.340909090909,"GO:0031623 receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0031623","ENSG00000183020"
0.0290571715771664,1,179,127.826815642458,"GO:0031503 protein-containing complex localization "," http://amigo.geneontology.org/amigo/term/GO:0031503","ENSG00000183020"
0.0312486342380128,1,220,104.004545454545,"GO:0099003 vesicle-mediated transport in synapse "," http://amigo.geneontology.org/amigo/term/GO:0099003","ENSG00000183020"
0.034594447600871,1,274,83.507299270073,"GO:0006898 receptor-mediated endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0006898","ENSG00000183020"
0.0720423058432762,1,634,36.089905362776,"GO:0006897 endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0006897","ENSG00000183020"
0.0964833863745603,1,934,24.4978586723769,"GO:0006886 intracellular protein transport "," http://amigo.geneontology.org/amigo/term/GO:0006886","ENSG00000183020"
0.119981387074299,1,1680,13.6196428571429,"GO:0015031 protein transport "," http://amigo.geneontology.org/amigo/term/GO:0015031","ENSG00000183020"
0.119981387074299,1,1695,13.4991150442478,"GO:0016192 vesicle-mediated transport "," http://amigo.geneontology.org/amigo/term/GO:0016192","ENSG00000183020"
0.119981387074299,1,1782,12.8400673400673,"GO:0034613 cellular protein localization "," http://amigo.geneontology.org/amigo/term/GO:0034613","ENSG00000183020"
0.119981387074299,1,1795,12.7470752089136,"GO:0045184 establishment of protein localization "," http://amigo.geneontology.org/amigo/term/GO:0045184","ENSG00000183020"
0.119981387074299,1,1709,13.3885313048566,"GO:0046907 intracellular transport "," http://amigo.geneontology.org/amigo/term/GO:0046907","ENSG00000183020"
0.119981387074299,1,1791,12.7755443886097,"GO:0070727 cellular macromolecule localization "," http://amigo.geneontology.org/amigo/term/GO:0070727","ENSG00000183020"
0.137304604985213,1,2175,10.52,"GO:0071705 nitrogen compound transport "," http://amigo.geneontology.org/amigo/term/GO:0071705","ENSG00000183020"
0.142816724517469,1,2388,9.58165829145729,"GO:0051649 establishment of localization in cell "," http://amigo.geneontology.org/amigo/term/GO:0051649","ENSG00000183020"
0.142959119752093,1,2642,8.66048448145344,"GO:0008104 protein localization "," http://amigo.geneontology.org/amigo/term/GO:0008104","ENSG00000183020"
0.142959119752093,1,2618,8.73987776928953,"GO:0071702 organic substance transport "," http://amigo.geneontology.org/amigo/term/GO:0071702","ENSG00000183020"
0.154785725008218,1,3133,7.30322374720715,"GO:0033036 macromolecule localization "," http://amigo.geneontology.org/amigo/term/GO:0033036","ENSG00000183020"
0.154785725008218,1,3120,7.33365384615385,"GO:0051641 cellular localization "," http://amigo.geneontology.org/amigo/term/GO:0051641","ENSG00000183020"
0.19426234284632,1,4103,5.57665123080673,"GO:0065008 regulation of biological quality "," http://amigo.geneontology.org/amigo/term/GO:0065008","ENSG00000183020"
