"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.011144617805162,1,11,2080.09090909091,"GO:0030122 AP-2 adaptor complex "," http://amigo.geneontology.org/amigo/term/GO:0030122","ENSG00000183020"
0.011144617805162,1,12,1906.75,"GO:0030128 clathrin coat of endocytic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0030128","ENSG00000183020"
0.011144617805162,1,28,817.178571428571,"GO:0030131 clathrin adaptor complex "," http://amigo.geneontology.org/amigo/term/GO:0030131","ENSG00000183020"
0.011144617805162,1,19,1204.26315789474,"GO:0030132 clathrin coat of coated pit "," http://amigo.geneontology.org/amigo/term/GO:0030132","ENSG00000183020"
0.011144617805162,1,30,762.7,"GO:0036019 endolysosome "," http://amigo.geneontology.org/amigo/term/GO:0036019","ENSG00000183020"
0.011144617805162,1,21,1089.57142857143,"GO:0036020 endolysosome membrane "," http://amigo.geneontology.org/amigo/term/GO:0036020","ENSG00000183020"
0.0111446178051638,1,35,653.742857142857,"GO:0030125 clathrin vesicle coat "," http://amigo.geneontology.org/amigo/term/GO:0030125","ENSG00000183020"
0.0125376950308119,1,45,508.466666666667,"GO:0030119 AP-type membrane coat adaptor complex "," http://amigo.geneontology.org/amigo/term/GO:0030119","ENSG00000183020"
0.0126305668458549,1,51,448.647058823529,"GO:0030118 clathrin coat "," http://amigo.geneontology.org/amigo/term/GO:0030118","ENSG00000183020"
0.0138193260784056,1,62,369.048387096774,"GO:0030120 vesicle coat "," http://amigo.geneontology.org/amigo/term/GO:0030120","ENSG00000183020"
0.0154167212971439,1,83,275.674698795181,"GO:0005905 clathrin-coated pit "," http://amigo.geneontology.org/amigo/term/GO:0005905","ENSG00000183020"
0.0154167212971439,1,81,282.481481481481,"GO:0101003 ficolin-1-rich granule membrane "," http://amigo.geneontology.org/amigo/term/GO:0101003","ENSG00000183020"
0.0159208825788067,1,100,228.81,"GO:0030117 membrane coat "," http://amigo.geneontology.org/amigo/term/GO:0030117","ENSG00000183020"
0.0159208825788067,1,100,228.81,"GO:0048475 coated membrane "," http://amigo.geneontology.org/amigo/term/GO:0048475","ENSG00000183020"
0.016939819063852,1,114,200.710526315789,"GO:0030669 clathrin-coated endocytic vesicle membrane "," http://amigo.geneontology.org/amigo/term/GO:0030669","ENSG00000183020"
0.0183886193785236,1,132,173.340909090909,"GO:0045334 clathrin-coated endocytic vesicle "," http://amigo.geneontology.org/amigo/term/GO:0045334","ENSG00000183020"
0.0224130646970558,1,181,126.414364640884,"GO:0009898 cytoplasmic side of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0009898","ENSG00000183020"
0.0224130646970558,1,181,126.414364640884,"GO:0030665 clathrin-coated vesicle membrane "," http://amigo.geneontology.org/amigo/term/GO:0030665","ENSG00000183020"
0.0236690454338284,1,209,109.478468899522,"GO:0070820 tertiary granule "," http://amigo.geneontology.org/amigo/term/GO:0070820","ENSG00000183020"
0.0236690454338284,1,217,105.442396313364,"GO:0098562 cytoplasmic side of membrane "," http://amigo.geneontology.org/amigo/term/GO:0098562","ENSG00000183020"
0.0236690454338284,1,223,102.605381165919,"GO:0101002 ficolin-1-rich granule "," http://amigo.geneontology.org/amigo/term/GO:0101002","ENSG00000183020"
0.0269497121470375,1,266,86.0187969924812,"GO:0030136 clathrin-coated vesicle "," http://amigo.geneontology.org/amigo/term/GO:0030136","ENSG00000183020"
