"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00504785629998716,1,20,1144.05,"GO:0035615 clathrin adaptor activity "," http://amigo.geneontology.org/amigo/term/GO:0035615","ENSG00000183020"
0.00504785629998716,1,21,1089.57142857143,"GO:0140312 cargo adaptor activity "," http://amigo.geneontology.org/amigo/term/GO:0140312","ENSG00000183020"
0.00592922803490499,1,37,618.405405405405,"GO:0097718 disordered domain specific binding "," http://amigo.geneontology.org/amigo/term/GO:0097718","ENSG00000183020"
0.00877365499759636,1,73,313.438356164384,"GO:0030276 clathrin binding "," http://amigo.geneontology.org/amigo/term/GO:0030276","ENSG00000183020"
0.0318255321008706,1,331,69.1268882175227,"GO:0030674 protein-macromolecule adaptor activity "," http://amigo.geneontology.org/amigo/term/GO:0030674","ENSG00000183020"
0.0318896318634101,1,398,57.4899497487437,"GO:0060090 molecular adaptor activity "," http://amigo.geneontology.org/amigo/term/GO:0060090","ENSG00000183020"
0.0404309252217988,1,739,30.9621109607578,"GO:0019901 protein kinase binding "," http://amigo.geneontology.org/amigo/term/GO:0019901","ENSG00000183020"
0.0404309252217988,1,748,30.5895721925134,"GO:0019904 protein domain specific binding "," http://amigo.geneontology.org/amigo/term/GO:0019904","ENSG00000183020"
0.0404309252217988,1,824,27.7682038834951,"GO:0019900 kinase binding "," http://amigo.geneontology.org/amigo/term/GO:0019900","ENSG00000183020"
0.0404309252217988,1,841,27.2068965517241,"GO:0008289 lipid binding "," http://amigo.geneontology.org/amigo/term/GO:0008289","ENSG00000183020"
