"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0179549964598814,1,4,2860.125,"GO:0030951 establishment or maintenance of microtubule cytoskeleton polarity "," http://amigo.geneontology.org/amigo/term/GO:0030951"," LMNA"
0.0179549964598814,1,4,2860.125,"GO:1900114 positive reg. of histone H3-K9 trimethylation "," http://amigo.geneontology.org/amigo/term/GO:1900114"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:0010616 negative reg. of cardiac muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0010616"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:0072201 negative reg. of mesenchymal cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0072201"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:0097240 chromosome attachment to the nuclear envelope "," http://amigo.geneontology.org/amigo/term/GO:0097240"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:1903243 negative reg. of cardiac muscle hypertrophy in response to stress "," http://amigo.geneontology.org/amigo/term/GO:1903243"," LMNA"
0.0179549964598814,1,10,1144.05,"GO:0055015 ventricular cardiac muscle cell development "," http://amigo.geneontology.org/amigo/term/GO:0055015"," LMNA"
0.0211589331738137,1,15,762.7,"GO:0055012 ventricular cardiac muscle cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0055012"," LMNA"
0.0239017017637643,1,19,602.131578947368,"GO:0036124 histone H3-K9 trimethylation "," http://amigo.geneontology.org/amigo/term/GO:0036124"," LMNA"
0.0239017017637643,1,21,544.785714285714,"GO:0090201 negative reg. of release of cytochrome c from mitochondria "," http://amigo.geneontology.org/amigo/term/GO:0090201"," LMNA"
0.0239017017637643,1,23,497.413043478261,"GO:0003299 muscle hypertrophy in response to stress "," http://amigo.geneontology.org/amigo/term/GO:0003299"," LMNA"
0.0239017017637643,1,23,497.413043478261,"GO:0014887 cardiac muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0014887"," LMNA"
