"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0179549964598814,1,10,1144.05,"GO:0010612 regulation of cardiac muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0010612"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:0010616 negative regulation of cardiac muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0010616"," LMNA"
0.0179549964598814,1,10,1144.05,"GO:0014745 negative regulation of muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0014745"," LMNA"
0.0179549964598814,1,4,2860.125,"GO:0030951 establishment or maintenance of microtubule cytoskeleton polarity "," http://amigo.geneontology.org/amigo/term/GO:0030951"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:0030952 establishment or maintenance of cytoskeleton polarity "," http://amigo.geneontology.org/amigo/term/GO:0030952"," LMNA"
0.0179549964598814,1,10,1144.05,"GO:0055015 ventricular cardiac muscle cell development "," http://amigo.geneontology.org/amigo/term/GO:0055015"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:0072201 negative regulation of mesenchymal cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0072201"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:0097240 chromosome attachment to the nuclear envelope "," http://amigo.geneontology.org/amigo/term/GO:0097240"," LMNA"
0.0179549964598814,1,4,2860.125,"GO:1900114 positive regulation of histone H3-K9 trimethylation "," http://amigo.geneontology.org/amigo/term/GO:1900114"," LMNA"
0.0179549964598814,1,10,1144.05,"GO:1903242 regulation of cardiac muscle hypertrophy in response to stress "," http://amigo.geneontology.org/amigo/term/GO:1903242"," LMNA"
0.0179549964598814,1,7,1634.35714285714,"GO:1903243 negative regulation of cardiac muscle hypertrophy in response to stress "," http://amigo.geneontology.org/amigo/term/GO:1903243"," LMNA"
0.0181042257096159,1,11,1040.04545454545,"GO:0051574 positive regulation of histone H3-K9 methylation "," http://amigo.geneontology.org/amigo/term/GO:0051574"," LMNA"
0.0211589331738137,1,15,762.7,"GO:0055012 ventricular cardiac muscle cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0055012"," LMNA"
0.0211589331738137,1,14,817.178571428571,"GO:1900112 regulation of histone H3-K9 trimethylation "," http://amigo.geneontology.org/amigo/term/GO:1900112"," LMNA"
0.0239017017637643,1,23,497.413043478261,"GO:0003299 muscle hypertrophy in response to stress "," http://amigo.geneontology.org/amigo/term/GO:0003299"," LMNA"
0.0239017017637643,1,23,497.413043478261,"GO:0014887 cardiac muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0014887"," LMNA"
0.0239017017637643,1,23,497.413043478261,"GO:0014898 cardiac muscle hypertrophy in response to stress "," http://amigo.geneontology.org/amigo/term/GO:0014898"," LMNA"
0.0239017017637643,1,19,602.131578947368,"GO:0036124 histone H3-K9 trimethylation "," http://amigo.geneontology.org/amigo/term/GO:0036124"," LMNA"
0.0239017017637643,1,21,544.785714285714,"GO:0090201 negative regulation of release of cytochrome c from mitochondria "," http://amigo.geneontology.org/amigo/term/GO:0090201"," LMNA"
0.0263236341183081,1,28,408.589285714286,"GO:0010614 negative regulation of cardiac muscle hypertrophy "," http://amigo.geneontology.org/amigo/term/GO:0010614"," LMNA"
0.0263236341183081,1,27,423.722222222222,"GO:0051570 regulation of histone H3-K9 methylation "," http://amigo.geneontology.org/amigo/term/GO:0051570"," LMNA"
0.0266080150251656,1,31,369.048387096774,"GO:0010464 regulation of mesenchymal cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0010464"," LMNA"
0.0266080150251656,1,30,381.35,"GO:0014741 negative regulation of muscle hypertrophy "," http://amigo.geneontology.org/amigo/term/GO:0014741"," LMNA"
0.029608908038338,1,36,317.791666666667,"GO:0051567 histone H3-K9 methylation "," http://amigo.geneontology.org/amigo/term/GO:0051567"," LMNA"
0.030632401022482,1,59,193.906779661017,"GO:0001836 release of cytochrome c from mitochondria "," http://amigo.geneontology.org/amigo/term/GO:0001836"," LMNA"
0.030632401022482,2,1354,16.8988183161004,"GO:0009968 negative regulation of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0009968"," LRRC14  LMNA"
0.030632401022482,1,44,260.011363636364,"GO:0010463 mesenchymal cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0010463"," LMNA"
0.030632401022482,1,54,211.861111111111,"GO:0010611 regulation of cardiac muscle hypertrophy "," http://amigo.geneontology.org/amigo/term/GO:0010611"," LMNA"
0.030632401022482,2,1483,15.4288604180715,"GO:0010648 negative regulation of cell communication "," http://amigo.geneontology.org/amigo/term/GO:0010648"," LRRC14  LMNA"
0.030632401022482,1,59,193.906779661017,"GO:0010823 negative regulation of mitochondrion organization "," http://amigo.geneontology.org/amigo/term/GO:0010823"," LMNA"
0.030632401022482,1,57,200.710526315789,"GO:0014743 regulation of muscle hypertrophy "," http://amigo.geneontology.org/amigo/term/GO:0014743"," LMNA"
0.030632401022482,1,47,243.414893617021,"GO:0014888 striated muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0014888"," LMNA"
0.030632401022482,1,59,193.906779661017,"GO:0018023 peptidyl-lysine trimethylation "," http://amigo.geneontology.org/amigo/term/GO:0018023"," LMNA"
0.030632401022482,2,1488,15.3770161290323,"GO:0023057 negative regulation of signaling "," http://amigo.geneontology.org/amigo/term/GO:0023057"," LRRC14  LMNA"
0.030632401022482,1,53,215.858490566038,"GO:0031062 positive regulation of histone methylation "," http://amigo.geneontology.org/amigo/term/GO:0031062"," LMNA"
0.030632401022482,1,49,233.479591836735,"GO:0034122 negative regulation of toll-like receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0034122"," LRRC14"
0.030632401022482,1,48,238.34375,"GO:0061647 histone H3-K9 modification "," http://amigo.geneontology.org/amigo/term/GO:0061647"," LMNA"
0.030632401022482,1,50,228.81,"GO:0090199 regulation of release of cytochrome c from mitochondria "," http://amigo.geneontology.org/amigo/term/GO:0090199"," LMNA"
0.0328779214317429,1,65,176.007692307692,"GO:0006998 nuclear envelope organization "," http://amigo.geneontology.org/amigo/term/GO:0006998"," LMNA"
0.0340602487849111,2,1777,12.8761958356781,"GO:0048585 negative regulation of response to stimulus "," http://amigo.geneontology.org/amigo/term/GO:0048585"," LRRC14  LMNA"
0.0352416649852433,1,79,144.816455696203,"GO:0003300 cardiac muscle hypertrophy "," http://amigo.geneontology.org/amigo/term/GO:0003300"," LMNA"
0.0352416649852433,1,84,136.196428571429,"GO:0014896 muscle hypertrophy "," http://amigo.geneontology.org/amigo/term/GO:0014896"," LMNA"
0.0352416649852433,1,82,139.518292682927,"GO:0014897 striated muscle hypertrophy "," http://amigo.geneontology.org/amigo/term/GO:0014897"," LMNA"
0.0352416649852433,1,84,136.196428571429,"GO:0031060 regulation of histone methylation "," http://amigo.geneontology.org/amigo/term/GO:0031060"," LMNA"
0.0352416649852433,1,80,143.00625,"GO:0043502 regulation of muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0043502"," LMNA"
0.0352416649852433,1,82,139.518292682927,"GO:0055006 cardiac cell development "," http://amigo.geneontology.org/amigo/term/GO:0055006"," LMNA"
0.0352416649852433,1,77,148.577922077922,"GO:0055013 cardiac muscle cell development "," http://amigo.geneontology.org/amigo/term/GO:0055013"," LMNA"
0.0369674258889794,1,90,127.116666666667,"GO:0034121 regulation of toll-like receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0034121"," LRRC14"
0.0386221132442271,1,96,119.171875,"GO:0050000 chromosome localization "," http://amigo.geneontology.org/amigo/term/GO:0050000"," LMNA"
0.0404869374043475,1,113,101.243362831858,"GO:0031058 positive regulation of histone modification "," http://amigo.geneontology.org/amigo/term/GO:0031058"," LMNA"
0.0404869374043475,1,109,104.95871559633,"GO:0032088 negative regulation of NF-kappaB transcription factor activity "," http://amigo.geneontology.org/amigo/term/GO:0032088"," LRRC14"
0.0404869374043475,1,113,101.243362831858,"GO:0032204 regulation of telomere maintenance "," http://amigo.geneontology.org/amigo/term/GO:0032204"," LMNA"
0.0404869374043475,1,107,106.920560747664,"GO:0043500 muscle adaptation "," http://amigo.geneontology.org/amigo/term/GO:0043500"," LMNA"
0.0404869374043475,1,113,101.243362831858,"GO:0055007 cardiac muscle cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0055007"," LMNA"
0.0404869374043475,1,112,102.147321428571,"GO:2001237 negative regulation of extrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:2001237"," LMNA"
0.040816953958588,1,116,98.625,"GO:0008637 apoptotic mitochondrial changes "," http://amigo.geneontology.org/amigo/term/GO:0008637"," LMNA"
0.0449268429047679,1,130,88.0038461538462,"GO:0090398 cellular senescence "," http://amigo.geneontology.org/amigo/term/GO:0090398"," LMNA"
0.0456263038092385,1,138,82.9021739130435,"GO:0002224 toll-like receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0002224"," LRRC14"
0.0456263038092385,1,139,82.3057553956835,"GO:0034968 histone lysine methylation "," http://amigo.geneontology.org/amigo/term/GO:0034968"," LMNA"
0.0456263038092385,1,136,84.1213235294118,"GO:0062207 regulation of pattern recognition receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0062207"," LRRC14"
0.0462367354903738,1,151,75.7649006622517,"GO:0006997 nucleus organization "," http://amigo.geneontology.org/amigo/term/GO:0006997"," LMNA"
0.0462367354903738,1,155,73.8096774193548,"GO:0018022 peptidyl-lysine methylation "," http://amigo.geneontology.org/amigo/term/GO:0018022"," LMNA"
0.0462367354903738,1,153,74.7745098039216,"GO:0035051 cardiocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0035051"," LMNA"
0.0462367354903738,1,152,75.2664473684211,"GO:0036294 cellular response to decreased oxygen levels "," http://amigo.geneontology.org/amigo/term/GO:0036294"," LMNA"
0.0462367354903738,1,144,79.4479166666667,"GO:0071456 cellular response to hypoxia "," http://amigo.geneontology.org/amigo/term/GO:0071456"," LMNA"
0.0462367354903738,1,147,77.8265306122449,"GO:1900180 regulation of protein localization to nucleus "," http://amigo.geneontology.org/amigo/term/GO:1900180"," LMNA"
0.0475176250697419,1,167,68.5059880239521,"GO:0000723 telomere maintenance "," http://amigo.geneontology.org/amigo/term/GO:0000723"," LMNA"
0.0475176250697419,1,166,68.9186746987952,"GO:0010821 regulation of mitochondrion organization "," http://amigo.geneontology.org/amigo/term/GO:0010821"," LMNA"
