"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","CTP binding","GO:0002135","true","0.024987656097911017","1.6022744798273179","1","1","1","20212","ENSG00000080824"
"GO:MF","dATP binding","GO:0032564","true","0.024987656097911017","1.6022744798273179","1","1","1","20212","ENSG00000080824"
"GO:MF","UTP binding","GO:0002134","true","0.04997531219576596","1.3012444841638238","2","1","1","20212","ENSG00000080824"
"GO:MF","adenyl deoxyribonucleotide binding","GO:0032558","false","0.04997531219576596","1.3012444841638238","2","1","1","20212","ENSG00000080824"
"GO:MF","sulfonylurea receptor binding","GO:0017098","true","0.04997531219576596","1.3012444841638238","2","1","1","20212","ENSG00000080824"
"GO:CC","sperm mitochondrial sheath","GO:0097226","true","0.0498403215777238","1.30241916420241","5","1","1","22097","ENSG00000080824"
"REAC","vRNP Assembly","REAC:R-HSA-192905","false","0.02499563826113601","1.6021357691034173","2","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to afatinib","REAC:R-HSA-9665249","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to osimertinib","REAC:R-HSA-9665247","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to sapitinib","REAC:R-HSA-9665244","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to tesevatinib","REAC:R-HSA-9665245","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to trastuzumab","REAC:R-HSA-9665233","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to AEE788","REAC:R-HSA-9665250","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Drug-mediated inhibition of ERBB2 signaling","REAC:R-HSA-9652282","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Drug resistance in ERBB2 TMD/JMD mutants","REAC:R-HSA-9665737","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Drug resistance in ERBB2 KD mutants","REAC:R-HSA-9665230","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to lapatinib","REAC:R-HSA-9665251","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"REAC","Resistance of ERBB2 KD mutants to neratinib","REAC:R-HSA-9665246","false","0.04999127652224193","1.3011057734396976","4","1","1","10842","ENSG00000080824"
"CORUM","NOS3-HSP90 complex, VEGF induced","CORUM:5716","false","0.024965846721687054","1.6026537001748413","1","1","1","3383","ENSG00000080824"
"CORUM","GSK3B-HSP90AA1-PKM2 complex","CORUM:7284","false","0.04993169344335535","1.301623704511023","2","1","1","3383","ENSG00000080824"
"CORUM","NMNAT2-HSP90 complex","CORUM:6402","false","0.04993169344335535","1.301623704511023","2","1","1","3383","ENSG00000080824"
"CORUM","DNAJC7-HSPA8-HSP90AA1 complex","CORUM:6399","false","0.04993169344335535","1.301623704511023","2","1","1","3383","ENSG00000080824"
"CORUM","NOS3-HSP90-AKT complex, VEGF induced","CORUM:5718","false","0.04993169344335535","1.301623704511023","2","1","1","3383","ENSG00000080824"
"CORUM","HSP90-FKBP38-CAM-Ca(2+) complex","CORUM:4158","false","0.04993169344335535","1.301623704511023","2","1","1","3383","ENSG00000080824"
"CORUM","Hsp90-p23 complex","CORUM:6591","false","0.04993169344335535","1.301623704511023","2","1","1","3383","ENSG00000080824"
